EXTRACTION_ID,DIE_ROW,DIE_COL
1,18,4
2,12,4
3,13,3
4,17,3
5,11,18
6,15,7
7,16,2
8,4,3
9,1,7
10,6,6
11,5,6
12,17,18
13,18,17
14,0,11
15,9,19
16,16,6
17,2,2
18,15,5
19,2,1
20,9,19
21,16,4
22,6,8
23,6,4
24,5,19
25,14,3
26,5,10
27,19,19
28,8,10
29,9,17
30,10,17
31,11,15
32,11,14
33,10,11
34,19,11
35,16,16
36,15,8
37,14,18
38,12,17
39,6,7
40,19,8
41,9,14
42,4,18
43,16,1
44,3,1
45,17,4
46,12,8
47,2,3
48,0,10
49,8,10
50,0,19
51,2,14
52,10,5
53,19,15
54,9,16
55,16,13
56,18,13
57,16,6
58,12,14
59,8,2
60,10,12
61,5,18
62,9,19
63,7,5
64,4,6
65,19,12
66,0,7
67,1,14
68,3,4
69,19,3
70,13,1
71,17,9
72,4,4
73,14,5
74,7,18
75,9,16
76,0,16
77,12,11
78,16,2
79,13,14
80,3,12
81,10,18
82,5,9
83,19,3
84,17,11
85,3,9
86,10,13
87,18,7
88,16,6
89,14,2
90,12,19
91,0,15
92,14,9
93,9,4
94,1,12
95,4,8
96,10,12
97,14,1
98,10,3
99,12,14
100,17,1
101,13,13
102,7,8
103,12,0
104,11,15
105,2,13
106,1,16
107,13,17
108,7,14
109,11,16
110,6,2
111,4,18
112,3,18
113,7,13
114,16,16
115,8,14
116,7,17
117,11,17
118,19,10
119,7,16
120,11,18
121,8,5
122,12,0
123,8,3
124,12,0
125,10,8
126,13,0
127,19,5
128,3,5
129,11,14
130,8,4
131,7,18
132,4,3
133,1,19
134,8,11
135,16,4
136,1,0
137,8,6
138,19,11
139,19,2
140,4,3
141,0,2
142,13,13
143,0,1
144,6,0
145,9,9
146,17,6
147,1,11
148,13,18
149,10,17
150,2,10
151,16,12
152,16,16
153,9,8
154,18,13
155,12,4
156,18,12
157,19,4
158,11,3
159,5,15
160,2,11
161,11,7
162,3,0
163,15,4
164,18,16
165,4,9
166,11,19
167,0,18
168,3,17
169,7,0
170,17,1
171,19,11
172,12,6
173,11,16
174,11,6
175,1,3
176,7,2
177,19,6
178,8,12
179,4,2
180,4,15
181,14,6
182,0,6
183,19,13
184,17,17
185,11,8
186,9,15
187,15,6
188,10,2
189,9,16
190,6,15
191,8,15
192,15,17
193,1,9
194,0,3
195,14,11
196,7,11
197,16,7
198,0,12
199,18,5
200,2,12
201,8,15
202,19,1
203,2,9
204,13,13
205,14,1
206,8,12
207,1,18
208,10,16
209,8,13
210,17,16
211,13,7
212,6,6
213,1,1
214,11,14
215,5,6
216,13,17
217,17,9
218,7,17
219,18,2
220,10,3
221,10,6
222,15,0
223,15,9
224,18,13
225,19,13
226,3,4
227,8,3
228,18,11
229,6,12
230,0,18
231,11,17
232,15,7
233,14,3
234,16,5
235,12,17
236,2,9
237,16,19
238,8,13
239,16,11
240,16,2
241,19,11
242,0,7
243,17,16
244,12,2
245,9,3
246,15,13
247,19,13
248,10,16
249,1,10
250,14,7
